ticket_id,account_contact,ticket_status,ticket_priority,first_response_time,time_to_resolution,customer_satisfaction_rating
100,mark94@example.org,Pending Customer Response,Low,2023-06-01 15:32:53,,
101,patriciathompson@example.org,Pending Customer Response,High,2023-06-01 21:36:55,,
102,andersoncourtney@example.org,Pending Customer Response,Critical,2023-06-01 21:00:57,,
103,james45@example.com,Closed,Critical,2023-06-01 03:07:58,2023-06-01 15:23:58,3.0
104,jason93@example.org,Open,High,,,
105,malloryrogers@example.net,Open,High,,,
106,lisahamilton@example.com,Pending Customer Response,Critical,2023-06-01 02:08:01,,
107,daniellebrown@example.net,Closed,Low,2023-06-01 11:38:01,2023-06-01 20:46:01,2.0
108,douglasmccormick@example.net,Pending Customer Response,High,2023-06-01 15:49:01,,
109,mreeves@example.com,Closed,Critical,2023-06-01 02:55:03,2023-06-01 08:15:03,4.0
110,kingthomas@example.com,Open,High,,,
111,bsummers@example.net,Closed,High,2023-06-01 03:14:05,2023-06-01 12:43:05,2.0
112,matthew17@example.com,Open,High,,,
113,cheryl25@example.net,Open,Medium,,,
114,changalicia@example.org,Closed,High,2023-06-01 03:24:09,2023-05-31 22:24:09,1.0
115,dflores@example.org,Closed,High,2023-06-01 10:27:10,2023-06-01 06:04:10,1.0
116,xelliott@example.net,Open,Critical,,,
117,eblankenship@example.net,Closed,High,2023-06-01 19:02:13,2023-06-01 18:17:13,5.0
118,mary68@example.net,Closed,Medium,2023-06-01 00:40:14,2023-06-01 04:42:14,5.0
119,amcgee@example.net,Open,High,,,
120,kathleenmiller@example.net,Closed,Low,2023-06-01 04:22:17,2023-06-01 14:49:17,2.0
121,zachary60@example.net,Pending Customer Response,Medium,2023-06-01 18:02:19,,
122,khenderson@example.org,Open,Critical,,,
123,dholmes@example.org,Open,Low,,,
124,steven13@example.org,Pending Customer Response,Low,2023-06-01 13:08:24,,
125,gkane@example.org,Pending Customer Response,High,2023-06-01 02:14:26,,
126,daniel46@example.com,Open,Medium,,,
127,walljohn@example.net,Open,Low,,,
128,abigailbowen@example.net,Pending Customer Response,Low,2023-06-01 03:09:31,,
129,jbaker@example.net,Closed,Medium,2023-05-31 22:12:33,2023-06-01 00:29:33,3.0
130,andrewacosta@example.net,Pending Customer Response,Low,2023-06-01 07:38:35,,
131,jbartlett@example.org,Closed,Medium,2023-06-01 21:31:36,2023-06-01 15:03:36,2.0
132,stephaniefitzpatrick@example.net,Pending Customer Response,Critical,2023-06-01 20:57:38,,
133,tamara40@example.org,Open,Medium,,,
134,nicholas74@example.com,Closed,Critical,2023-06-01 17:14:41,2023-05-31 22:53:41,5.0
135,tony74@example.org,Closed,Critical,2023-06-01 07:40:42,2023-06-01 01:07:42,2.0
136,mrivera@example.org,Pending Customer Response,Low,2023-06-01 02:05:43,,
137,ajenkins@example.com,Open,Critical,,,
138,justinbarron@example.com,Closed,Low,2023-06-01 09:56:46,2023-06-01 09:08:46,4.0
139,andrewkirby@example.org,Closed,Critical,2023-05-31 23:52:47,2023-06-01 06:58:47,2.0
140,bishoprobin@example.com,Pending Customer Response,Low,2023-06-01 19:46:49,,
141,jamesrobertson@example.net,Closed,Critical,2023-06-01 09:35:50,2023-06-01 05:30:50,1.0
142,travis76@example.net,Closed,High,2023-06-01 21:18:52,2023-06-01 05:10:52,2.0
143,solismatthew@example.net,Pending Customer Response,High,2023-06-01 14:31:54,,
144,crystaledwards@example.org,Open,Critical,,,
145,michael71@example.org,Open,Low,,,
146,marie15@example.org,Pending Customer Response,Medium,2023-06-01 15:24:59,,
147,jason55@example.com,Open,Low,,,
148,prestonrobert@example.net,Closed,Low,2023-06-01 13:45:03,2023-05-31 23:28:03,3.0
149,qmartin@example.com,Closed,High,2023-06-01 08:45:05,2023-06-01 13:55:05,1.0
150,thompsonamanda@example.org,Closed,Critical,2023-06-01 16:34:07,2023-06-01 20:02:07,3.0
151,beardjessica@example.net,Closed,Critical,2023-06-01 15:33:09,2023-06-01 06:51:09,4.0
152,garciarebecca@example.org,Pending Customer Response,Medium,2023-06-01 12:33:10,,
153,brucebrian@example.com,Pending Customer Response,Low,2023-06-01 15:58:11,,
154,myerszachary@example.org,Pending Customer Response,Medium,2023-06-01 02:50:13,,
155,dperkins@example.org,Open,Medium,,,
156,mcross@example.com,Open,Low,,,
157,rogergriffin@example.net,Open,Low,,,
158,shayden@example.net,Open,Medium,,,
159,williamsmegan@example.com,Pending Customer Response,Low,2023-06-01 02:19:21,,
160,roberthaas@example.net,Pending Customer Response,High,2023-06-01 19:33:22,,
161,michaelcollins@example.net,Pending Customer Response,High,2023-06-01 10:20:23,,
162,eortega@example.org,Closed,High,2023-06-01 03:19:25,2023-06-01 15:58:25,3.0
163,angela60@example.org,Closed,Critical,2023-06-01 21:38:27,2023-06-01 10:37:27,1.0
164,jacob52@example.net,Closed,Medium,2023-06-01 19:15:27,2023-06-01 09:02:27,3.0
165,ballwilliam@example.com,Closed,Low,2023-06-01 19:39:29,2023-06-01 21:26:29,5.0
166,mgonzalez@example.net,Pending Customer Response,Low,2023-06-01 07:21:30,,
167,rosssean@example.org,Closed,Medium,2023-06-01 04:35:32,2023-06-01 07:29:32,3.0
168,elizabeth48@example.net,Closed,Medium,2023-06-01 12:41:33,2023-06-01 06:19:33,3.0
169,danielle09@example.com,Open,High,,,
170,toddheather@example.com,Closed,Medium,2023-06-01 14:14:36,2023-06-01 11:08:36,1.0
171,brandon58@example.com,Closed,Low,2023-06-01 15:42:38,2023-06-01 18:36:38,4.0
172,cmartin@example.com,Open,Low,,,
173,paulcarter@example.org,Pending Customer Response,Medium,2023-06-01 10:53:42,,
174,fmoore@example.com,Pending Customer Response,Medium,2023-05-31 23:10:43,,
175,anthonyrusso@example.com,Pending Customer Response,Critical,2023-06-01 19:22:43,,
176,sarah08@example.net,Closed,Medium,2023-06-01 13:14:45,2023-06-01 07:23:45,4.0
177,zachary81@example.net,Pending Customer Response,Medium,2023-06-01 02:45:47,,
178,matthewlewis@example.org,Pending Customer Response,High,2023-06-01 11:03:49,,
179,michael72@example.net,Open,Medium,,,
180,odonnelljames@example.org,Pending Customer Response,Critical,2023-06-01 18:36:52,,
181,johnsonjennifer@example.net,Pending Customer Response,Medium,2023-06-01 03:33:53,,
182,dustin11@example.com,Pending Customer Response,Critical,2023-06-01 20:47:54,,
183,michele01@example.org,Closed,High,2023-06-01 01:29:56,2023-06-01 06:34:56,4.0
184,racheldouglas@example.com,Closed,Medium,2023-05-31 23:38:57,2023-06-01 03:51:57,4.0
185,ztaylor@example.net,Pending Customer Response,High,2023-06-01 13:47:59,,
186,jamiesmith@example.com,Open,Low,,,
187,kyle39@example.net,Pending Customer Response,Medium,2023-06-01 07:30:00,,
188,smosley@example.net,Pending Customer Response,Low,2023-06-01 17:14:02,,
189,claytoncheryl@example.net,Closed,High,2023-06-01 15:58:03,2023-06-01 07:32:03,1.0
190,collinsheather@example.org,Open,Critical,,,
191,smithterri@example.com,Pending Customer Response,Critical,2023-06-01 03:09:06,,
192,petersanders@example.com,Pending Customer Response,Low,2023-05-31 23:17:07,,
193,michaelharris@example.org,Closed,Medium,2023-06-01 21:31:09,2023-05-31 22:49:09,1.0
194,allenpeter@example.net,Pending Customer Response,Critical,2023-06-01 05:08:10,,
195,rachelsmith@example.org,Closed,Medium,2023-06-01 04:08:11,2023-06-01 11:49:11,2.0
196,qfoster@example.org,Open,High,,,
197,steindanny@example.net,Pending Customer Response,Low,2023-06-01 18:04:14,,
198,vincentanderson@example.net,Closed,High,2023-06-01 02:54:15,2023-05-31 22:36:15,3.0
199,cmiller@example.org,Closed,Critical,2023-06-01 01:07:17,2023-06-01 19:24:17,5.0
200,hendersonjesse@example.net,Closed,Medium,2023-06-01 12:39:19,2023-06-01 20:34:19,5.0
201,hthomas@example.com,Open,Critical,,,
202,colemanalex@example.com,Open,Medium,,,
203,gnixon@example.org,Open,Medium,,,
204,jeffrey03@example.net,Pending Customer Response,Low,2023-05-31 23:25:26,,
205,erika47@example.org,Closed,High,2023-06-01 17:47:28,2023-06-01 17:50:28,3.0
206,jennifer22@example.net,Closed,Medium,2023-06-01 13:56:29,2023-06-01 11:18:29,1.0
207,kelseycurry@example.net,Open,High,,,
208,rtate@example.org,Pending Customer Response,Critical,2023-06-01 00:51:31,,
209,raymond21@example.com,Open,High,,,
210,castillochristopher@example.com,Closed,Low,2023-06-01 21:50:34,2023-06-01 20:10:34,1.0
211,mitchellpatricia@example.net,Pending Customer Response,Low,2023-05-31 23:41:36,,
212,jonathan58@example.net,Pending Customer Response,Low,2023-06-01 12:37:38,,
213,banksbrittany@example.com,Open,Medium,,,
214,martinezcory@example.net,Open,High,,,
215,aguirrederrick@example.com,Open,Low,,,
216,reedalison@example.org,Open,Critical,,,
217,walkerleslie@example.net,Pending Customer Response,High,2023-06-01 14:13:43,,
218,millerjill@example.com,Open,Low,,,
219,zcoleman@example.net,Pending Customer Response,Critical,2023-06-01 03:11:47,,
220,timothy22@example.com,Closed,Critical,2023-06-01 09:57:49,2023-06-01 11:02:49,2.0
221,julie53@example.com,Closed,Medium,2023-06-01 13:53:51,2023-06-01 05:45:51,5.0
222,wanderson@example.com,Pending Customer Response,Critical,2023-06-01 09:13:53,,
223,yhunter@example.com,Pending Customer Response,Critical,2023-05-31 23:24:53,,
224,jensenwilliam@example.org,Pending Customer Response,Low,2023-05-31 22:57:55,,
225,elizabeth98@example.net,Open,Medium,,,
226,annaholder@example.com,Closed,High,2023-06-01 12:23:57,2023-05-31 21:54:57,4.0
227,vanessa77@example.net,Closed,High,2023-05-31 22:49:59,2023-06-01 16:11:59,4.0
228,justinsmith@example.net,Pending Customer Response,Low,2023-06-01 04:59:00,,
229,riverapatricia@example.com,Open,Low,,,
230,srivera@example.net,Closed,Critical,2023-06-01 08:10:04,2023-06-01 10:40:04,2.0
231,brian74@example.com,Pending Customer Response,Low,2023-06-01 16:17:06,,
232,dmalone@example.net,Pending Customer Response,High,2023-06-01 00:58:07,,
233,scottvaughn@example.net,Open,High,,,
234,andrea53@example.org,Pending Customer Response,High,2023-06-01 13:13:09,,
235,john06@example.org,Open,Critical,,,
236,williamnelson@example.net,Pending Customer Response,Critical,2023-06-01 05:47:13,,
237,robertogreen@example.com,Closed,Critical,2023-06-01 08:21:14,2023-06-01 00:43:14,3.0
238,lshaffer@example.com,Closed,High,2023-06-01 00:51:16,2023-06-01 08:38:16,4.0
239,diazjulie@example.net,Pending Customer Response,Critical,2023-06-01 16:22:18,,
240,jonesvictoria@example.net,Open,Low,,,
241,jacklucas@example.org,Closed,Low,2023-06-01 12:44:21,2023-06-01 09:42:21,5.0
242,tina56@example.com,Closed,Low,2023-06-01 08:10:23,2023-06-01 21:49:23,2.0
243,dana94@example.net,Open,Critical,,,
244,nicholaspacheco@example.org,Pending Customer Response,Critical,2023-06-01 06:35:25,,
245,qburton@example.com,Pending Customer Response,Medium,2023-06-01 06:07:27,,
246,erica00@example.net,Pending Customer Response,Medium,2023-06-01 04:19:28,,
247,mayerroger@example.com,Pending Customer Response,Medium,2023-06-01 05:41:30,,
248,clarkadrian@example.org,Open,Medium,,,
249,shirleyweaver@example.com,Pending Customer Response,Critical,2023-06-01 09:57:34,,
250,cathywatson@example.com,Closed,High,2023-06-01 15:10:34,2023-06-01 14:34:34,3.0
251,cindy89@example.org,Closed,Critical,2023-06-01 03:15:34,2023-06-01 08:04:34,2.0
252,rphelps@example.net,Pending Customer Response,Critical,2023-06-01 14:54:36,,
253,gallowaywillie@example.com,Pending Customer Response,High,2023-06-01 03:30:37,,
254,dawsontami@example.com,Pending Customer Response,High,2023-06-01 19:13:38,,
255,qking@example.org,Pending Customer Response,Low,2023-06-01 11:01:38,,
256,zbanks@example.com,Open,High,,,
257,ewilliams@example.net,Pending Customer Response,High,2023-06-01 02:09:42,,
258,pamdavis@example.com,Open,High,,,
259,walkerrachel@example.com,Open,High,,,
260,makaylawillis@example.org,Closed,Low,2023-06-01 05:54:46,2023-06-01 11:26:46,5.0
261,patrick20@example.com,Pending Customer Response,High,2023-06-01 00:09:48,,
262,robert08@example.org,Open,Critical,,,
263,kristina97@example.net,Closed,Medium,2023-06-01 05:44:50,2023-06-01 00:08:50,2.0
264,yolandawilson@example.org,Open,Medium,,,
265,valerie29@example.org,Closed,Critical,2023-06-01 16:39:52,2023-06-01 04:42:52,3.0
266,ryan15@example.com,Closed,Medium,2023-06-01 20:18:54,2023-06-01 16:15:54,2.0
267,howardjerry@example.com,Open,High,,,
268,nelsonrichard@example.com,Open,Low,,,
269,ytownsend@example.net,Pending Customer Response,Medium,2023-06-01 08:03:56,,
270,coreymcmillan@example.net,Closed,High,2023-06-01 07:21:57,2023-06-01 16:09:57,3.0
271,wunderwood@example.net,Closed,Critical,2023-06-01 14:06:58,2023-06-01 13:27:58,1.0
272,rwaters@example.net,Open,Critical,,,
273,msweeney@example.net,Pending Customer Response,Critical,2023-06-01 11:24:00,,
274,danielgray@example.com,Open,High,,,
275,obates@example.org,Open,Medium,,,
276,kaufmanphillip@example.org,Open,Low,,,
277,theresadennis@example.net,Open,Medium,,,
278,thomasraymond@example.net,Closed,Medium,2023-06-01 20:36:06,2023-06-01 14:25:06,4.0
279,ogarcia@example.net,Closed,Low,2023-06-01 00:42:08,2023-05-31 23:05:08,5.0
280,jennifer58@example.net,Pending Customer Response,High,2023-06-01 06:29:09,,
281,amyjohnson@example.org,Closed,Critical,2023-06-01 14:22:11,2023-06-01 16:09:11,2.0
282,cryan@example.net,Pending Customer Response,Low,2023-06-01 13:00:13,,
283,brian45@example.com,Open,Low,,,
284,larsonpamela@example.net,Open,Critical,,,
285,michealhernandez@example.com,Pending Customer Response,Low,2023-05-31 22:22:16,,
286,johnsonjames@example.com,Pending Customer Response,Medium,2023-05-31 22:02:18,,
287,anthonycooper@example.org,Pending Customer Response,Critical,2023-06-01 09:38:19,,
288,kingtricia@example.net,Open,Low,,,
289,leah45@example.net,Open,High,,,
290,zhayes@example.org,Pending Customer Response,Critical,2023-06-01 16:49:22,,
291,valdezmark@example.net,Pending Customer Response,Low,2023-05-31 22:57:22,,
292,lopezryan@example.com,Open,High,,,
293,robinsondonald@example.org,Closed,High,2023-06-01 05:29:23,2023-06-01 09:47:23,2.0
294,vtownsend@example.com,Open,Critical,,,
295,wcox@example.net,Closed,Critical,2023-06-01 01:49:25,2023-06-01 00:15:25,3.0
296,lindsey54@example.org,Open,Medium,,,
297,thuffman@example.com,Closed,Medium,2023-06-01 11:27:26,2023-06-01 08:26:26,5.0
298,zacharyjohnson@example.net,Closed,Critical,2023-06-01 04:14:28,2023-06-01 17:40:28,2.0
299,george05@example.org,Open,Low,,,
300,sarah08@example.org,Pending Customer Response,Medium,2023-06-01 02:55:32,,
301,jennifer62@example.org,Open,High,,,
302,mahoneydavid@example.net,Open,Medium,,,
303,tevans@example.org,Closed,Medium,2023-06-01 00:49:37,2023-06-01 01:53:37,1.0
304,john57@example.com,Pending Customer Response,Medium,2023-06-01 10:19:38,,
305,brianjones@example.com,Closed,Medium,2023-06-01 12:24:39,2023-06-01 21:20:39,5.0
306,parkernelson@example.net,Open,Critical,,,
307,henryelizabeth@example.net,Closed,Low,2023-06-01 17:07:42,2023-06-01 20:10:42,2.0
308,kevinmoody@example.org,Pending Customer Response,Critical,2023-06-01 08:11:43,,
309,jose81@example.com,Open,High,,,
310,sstrong@example.net,Open,High,,,
311,woodwardabigail@example.net,Closed,High,2023-06-01 13:51:48,2023-06-01 04:49:48,2.0
312,dvalentine@example.com,Closed,Critical,2023-06-01 07:18:48,2023-06-01 09:18:48,2.0
313,daniel23@example.net,Closed,Medium,2023-06-01 00:13:50,2023-06-01 01:29:50,1.0
314,jvaughn@example.com,Open,Low,,,
315,james32@example.com,Closed,High,2023-06-01 05:58:53,2023-06-01 05:41:53,2.0
316,lisa39@example.com,Pending Customer Response,Critical,2023-05-31 22:01:53,,
317,nicholasroy@example.com,Open,High,,,
318,ashley51@example.com,Closed,Low,2023-06-01 07:32:56,2023-05-31 23:53:56,4.0
319,emily89@example.com,Pending Customer Response,Medium,2023-06-01 18:51:58,,
320,qbaker@example.net,Open,Critical,,,
321,james76@example.com,Closed,Medium,2023-06-01 12:49:01,2023-06-01 05:11:01,4.0
322,hpatterson@example.net,Open,High,,,
323,nicole58@example.com,Closed,Critical,2023-06-01 06:48:03,2023-05-31 23:56:03,3.0
324,kylie70@example.org,Open,Critical,,,
325,olee@example.org,Pending Customer Response,Low,2023-06-01 06:35:07,,
326,mfoster@example.net,Closed,Low,2023-06-01 00:41:07,2023-06-01 11:28:07,4.0
327,hannah12@example.org,Pending Customer Response,Critical,2023-06-01 04:58:08,,
328,pschroeder@example.com,Open,Low,,,
329,kevin42@example.org,Open,Medium,,,
330,rosalessarah@example.net,Closed,Medium,2023-06-01 04:28:12,2023-06-01 09:59:12,5.0
331,boydbrianna@example.net,Open,Low,,,
332,alecleonard@example.net,Pending Customer Response,Medium,2023-06-01 00:05:16,,
333,jeffersonsteven@example.org,Closed,Medium,2023-06-01 18:11:18,2023-06-01 19:56:18,2.0
334,goodrachel@example.org,Closed,Medium,2023-06-01 10:39:19,2023-05-31 23:46:19,2.0
335,christopherconley@example.net,Pending Customer Response,High,2023-06-01 18:51:20,,
336,haleyclay@example.net,Open,High,,,
337,frank35@example.org,Pending Customer Response,Critical,2023-06-01 19:18:22,,
338,danielstodd@example.org,Open,High,,,
339,orowe@example.org,Closed,Critical,2023-06-01 08:44:25,2023-06-01 16:42:25,3.0
340,qmiller@example.com,Closed,Low,2023-06-01 15:40:26,2023-06-01 11:02:26,1.0
341,steven46@example.org,Open,Medium,,,
342,lopezannette@example.com,Pending Customer Response,Critical,2023-06-01 21:26:28,,
343,buckrebecca@example.net,Closed,Low,2023-06-01 15:44:28,2023-06-01 21:15:28,5.0
344,hgarrett@example.net,Open,Medium,,,
345,maciascynthia@example.net,Closed,High,2023-06-01 05:24:31,2023-06-01 17:25:31,3.0
346,desiree63@example.com,Closed,High,2023-06-01 15:56:32,2023-06-01 07:13:32,5.0
347,codyklein@example.net,Open,Low,,,
348,hannah44@example.com,Open,Medium,,,
349,aprilclayton@example.net,Pending Customer Response,Medium,2023-06-01 18:27:35,,
350,michelle98@example.com,Closed,Critical,2023-05-31 23:30:36,2023-06-01 17:25:36,3.0
351,coopermaria@example.org,Closed,Critical,2023-06-01 07:33:38,2023-06-01 17:15:38,2.0
352,darlene10@example.com,Pending Customer Response,Medium,2023-06-01 01:32:39,,
353,hayeskyle@example.net,Closed,High,2023-06-01 16:10:40,2023-06-01 10:42:40,2.0
354,ryanbowman@example.com,Closed,Critical,2023-06-01 19:19:42,2023-06-01 04:54:42,4.0
355,jessicaruiz@example.com,Pending Customer Response,Medium,2023-05-31 23:23:44,,
356,pyoung@example.com,Pending Customer Response,High,2023-06-01 02:07:45,,
357,jacqueline15@example.net,Closed,High,2023-06-01 01:05:47,2023-06-01 20:42:47,2.0
358,gpruitt@example.net,Open,Critical,,,
359,curtis49@example.com,Pending Customer Response,Low,2023-06-01 07:13:49,,
360,cruzmarc@example.net,Open,Critical,,,
361,sydneymoss@example.org,Closed,Medium,2023-06-01 06:19:52,2023-06-01 08:39:52,5.0
362,bailey77@example.com,Closed,Medium,2023-06-01 12:47:54,2023-06-01 14:54:54,4.0
363,jgreer@example.com,Open,Low,,,
364,floresnicholas@example.org,Open,Critical,,,
365,nsmith@example.com,Closed,High,2023-06-01 15:03:58,2023-06-01 20:10:58,1.0
366,julia73@example.net,Closed,Medium,2023-06-01 11:34:59,2023-06-01 07:18:59,3.0
367,fsandoval@example.net,Open,Critical,,,
368,martinkeith@example.com,Open,Critical,,,
369,danielbennett@example.net,Pending Customer Response,Low,2023-06-01 08:29:04,,
370,nwelch@example.org,Pending Customer Response,Low,2023-06-01 01:26:04,,
371,teresa96@example.com,Closed,Medium,2023-06-01 14:12:04,2023-05-31 23:26:04,2.0
372,wmassey@example.org,Closed,Medium,2023-05-31 22:20:05,2023-05-31 22:59:05,1.0
373,melissa61@example.org,Closed,Medium,2023-06-01 14:52:06,2023-06-01 21:08:06,5.0
